trueCardA,trueCardB,trueCardX,trueJaccardIdx,trueLogRatio,inclExclMinA,inclExclM3sA,inclExclM2sA,inclExclM1sA,inclExclMedA,inclExclP1sA,inclExclP2sA,inclExclP3sA,inclExclMaxA,inclExclMeanA,inclExclStdDevA,inclExclRMSEA,inclExclMinB,inclExclM3sB,inclExclM2sB,inclExclM1sB,inclExclMedB,inclExclP1sB,inclExclP2sB,inclExclP3sB,inclExclMaxB,inclExclMeanB,inclExclStdDevB,inclExclRMSEB,inclExclMinX,inclExclM3sX,inclExclM2sX,inclExclM1sX,inclExclMedX,inclExclP1sX,inclExclP2sX,inclExclP3sX,inclExclMaxX,inclExclMeanX,inclExclStdDevX,inclExclRMSEX,inclExclMinJaccardIdx,inclExclM3sJaccardIdx,inclExclM2sJaccardIdx,inclExclM1sJaccardIdx,inclExclMedJaccardIdx,inclExclP1sJaccardIdx,inclExclP2sJaccardIdx,inclExclP3sJaccardIdx,inclExclMaxJaccardIdx,inclExclMeanJaccardIdx,inclExclStdDevJaccardIdx,inclExclRMSEJaccardIdx,maxLikeMinA,maxLikeM3sA,maxLikeM2sA,maxLikeM1sA,maxLikeMedA,maxLikeP1sA,maxLikeP2sA,maxLikeP3sA,maxLikeMaxA,maxLikeMeanA,maxLikeStdDevA,maxLikeRMSEA,maxLikeMinB,maxLikeM3sB,maxLikeM2sB,maxLikeM1sB,maxLikeMedB,maxLikeP1sB,maxLikeP2sB,maxLikeP3sB,maxLikeMaxB,maxLikeMeanB,maxLikeStdDevB,maxLikeRMSEB,maxLikeMinX,maxLikeM3sX,maxLikeM2sX,maxLikeM1sX,maxLikeMedX,maxLikeP1sX,maxLikeP2sX,maxLikeP3sX,maxLikeMaxX,maxLikeMeanX,maxLikeStdDevX,maxLikeRMSEX,maxLikeMinJaccardIdx,maxLikeM3sJaccardIdx,maxLikeM2sJaccardIdx,maxLikeM1sJaccardIdx,maxLikeMedJaccardIdx,maxLikeP1sJaccardIdx,maxLikeP2sJaccardIdx,maxLikeP3sJaccardIdx,maxLikeMaxJaccardIdx,maxLikeMeanJaccardIdx,maxLikeStdDevJaccardIdx,maxLikeRMSEJaccardIdx,improvementStdevA,improvementRmseA,improvementStdevB,improvementRmseB,improvementStdevX,improvementRmseX,avgNumIterations,maxNumIterations
1598728349,251188153,2742179,0.00148013,0.803776,-0.00423074,-0.00348965,-0.00228152,-0.00113837,-1.1476e-05,0.00114761,0.00238287,0.00341999,0.00379452,1.28926e-05,0.00116354,0.00116361,-0.013302,-0.0112815,-0.00721559,-0.00371992,4.33264e-05,0.00372778,0.00738449,0.0107753,0.013625,3.03478e-05,0.00369822,0.00369835,-1,-0.998251,-0.670718,-0.323689,-0.00332658,0.322541,0.641899,1.01854,1.23061,-0.00243745,0.326426,0.326435,-1,-0.998254,-0.671033,-0.323533,-0.00311329,0.323096,0.642616,1.0219,1.23869,-0.00228853,0.326902,0.32691,-0.0034435,-0.00294678,-0.00203435,-0.00102227,3.03113e-06,0.00103084,0.00210476,0.00313763,0.00380671,9.25517e-06,0.00103661,0.00103665,-0.00573824,-0.00407869,-0.00293675,-0.00148448,-3.8312e-05,0.00149057,0.00306627,0.0104178,0.0129191,6.6926e-06,0.00158027,0.00158028,-1,-0.998251,-0.201139,-0.101488,0.00214488,0.10515,0.205129,0.296235,0.357102,-0.000372774,0.112112,0.112112,-1,-0.998254,-0.201628,-0.101265,0.00244052,0.106411,0.205592,0.297536,0.358532,-0.000360372,0.112245,0.112246,1.12245,1.12247,2.34025,2.34031,2.91161,2.91168,7.0384,122
13049219720,5945604476,103608860,0.00542499,0.341389,-0.00524053,-0.00430043,-0.00295215,-0.00140333,-1.68289e-05,0.00139538,0.00278772,0.0041186,0.00548033,-2.28466e-05,0.00141681,0.00141699,-0.0079545,-0.00706145,-0.00466898,-0.00235312,-8.59197e-05,0.00223575,0.00462844,0.00636404,0.00781756,-4.70229e-05,0.0023017,0.00230218,-0.385462,-0.330028,-0.236668,-0.115752,0.00278795,0.124153,0.236488,0.365197,0.432068,0.00366169,0.119715,0.119771,-0.38753,-0.33099,-0.237676,-0.116969,0.00289068,0.124901,0.238602,0.368242,0.437405,0.00375066,0.12037,0.120429,-0.00366173,-0.00318345,-0.00215101,-0.00109032,2.30899e-06,0.00110089,0.00207927,0.00316696,0.00339179,-6.25863e-06,0.00108644,0.00108646,-0.00420579,-0.0037929,-0.00243624,-0.00123485,-3.62844e-05,0.00121904,0.00235748,0.00343137,0.00370749,-1.22932e-05,0.00121495,0.00121501,-0.148746,-0.118891,-0.077996,-0.0380004,0.00184413,0.0413019,0.082187,0.116422,0.127691,0.00168779,0.0401135,0.040149,-0.149537,-0.119789,-0.0784088,-0.0380373,0.00200797,0.0413349,0.0831514,0.118209,0.129385,0.00169518,0.0403151,0.0403507,1.30408,1.30423,1.89449,1.89478,2.9844,2.98316,5.23432,18
144199,1608,3457,0.0231603,1.95268,-0.00252492,-0.00231255,-0.00145578,-0.000709057,6.48725e-06,0.000712269,0.00143233,0.00213039,0.00241329,-7.71937e-06,0.000711769,0.00071181,-0.0329088,-0.0303625,-0.0190578,-0.00971203,3.69366e-05,0.00969457,0.0189908,0.0278746,0.0378356,-4.86762e-05,0.00964283,0.00964296,-0.0162467,-0.0130116,-0.00876857,-0.00439956,3.82989e-05,0.00458096,0.00882137,0.014355,0.0159446,4.08139e-05,0.00450355,0.00450374,-0.0163276,-0.0130604,-0.0090867,-0.00454319,4.84847e-05,0.00467614,0.00932119,0.0146595,0.0161099,4.87178e-05,0.00464161,0.00464186,-0.00264664,-0.00226711,-0.00143189,-0.000707486,2.60534e-06,0.000700454,0.001391,0.00209192,0.00231184,-7.9986e-06,0.000706027,0.000706072,-0.0251236,-0.0220212,-0.0139769,-0.00724573,-3.86709e-05,0.00733891,0.0144737,0.0210509,0.0238653,-7.69971e-06,0.00715176,0.00715177,-0.0108558,-0.0101281,-0.00668706,-0.0034145,5.24799e-05,0.0034761,0.00664194,0.00971147,0.011426,2.08983e-05,0.00336962,0.00336969,-0.0115498,-0.0103945,-0.00687993,-0.00349168,0.000105374,0.00353087,0.00696379,0.0101902,0.0108581,2.88487e-05,0.00348388,0.003484,1.00813,1.00813,1.34832,1.34833,1.33652,1.33655,3.77048,28
36085381,8525744,3516662,0.0730693,0.626599,-0.00475331,-0.00391323,-0.00260972,-0.00139701,-5.59808e-05,0.00124979,0.00256812,0.00380939,0.00476322,-6.39501e-05,0.00131886,0.00132041,-0.01182,-0.00956125,-0.00676556,-0.00335824,-7.72477e-05,0.0033017,0.00633123,0.00951967,0.0109918,-9.05988e-05,0.00329788,0.00329913,-0.0263967,-0.0224798,-0.0145638,-0.00753689,5.67433e-05,0.00782942,0.0157262,0.0223704,0.0242042,0.000165275,0.00764751,0.0076493,-0.0273626,-0.0244097,-0.0158988,-0.00805343,0.000148999,0.0085544,0.0169577,0.0243312,0.0265666,0.000222255,0.00821875,0.00822176,-0.00377088,-0.00333759,-0.00229342,-0.00116445,-1.89042e-05,0.00104796,0.00214967,0.00319773,0.00383165,-4.97621e-05,0.00110723,0.00110835,-0.0084964,-0.00597693,-0.00414997,-0.00209599,-1.24911e-05,0.00195697,0.00395434,0.00580135,0.00709877,-4.66204e-05,0.00202224,0.00202278,-0.0146907,-0.0118369,-0.00839899,-0.00440052,3.30727e-06,0.00440228,0.00898724,0.0137123,0.0163888,5.76886e-05,0.00439936,0.00439974,-0.0162579,-0.012368,-0.00891991,-0.00455682,0.000118917,0.00466033,0.00948912,0.0142132,0.0170365,0.000100449,0.00462759,0.00462868,1.19113,1.19133,1.63081,1.63099,1.73832,1.73858,3.30303,7
652906563,42736075,23996891,0.0333457,1.18406,-0.00396267,-0.00321739,-0.0021692,-0.00108176,3.56338e-05,0.00111918,0.00222642,0.00301411,0.00378571,1.92485e-05,0.0011012,0.00110137,-0.0206078,-0.0172734,-0.0117089,-0.00596691,-0.000174046,0.00583303,0.0110255,0.0154044,0.0222366,-0.000155298,0.0057373,0.0057394,-0.0369003,-0.0264902,-0.0191829,-0.0102235,0.000290823,0.0101508,0.020573,0.030553,0.0337964,0.000247782,0.0100908,0.0100939,-0.0389408,-0.0275089,-0.0200312,-0.0105544,0.000262451,0.0105418,0.0213011,0.0313515,0.0368258,0.00023526,0.0104302,0.0104329,-0.0040902,-0.00311086,-0.00205004,-0.00102643,5.05624e-05,0.00107088,0.00209544,0.00289479,0.00356958,2.87258e-05,0.001044,0.0010444,-0.012034,-0.0103381,-0.00722232,-0.00351473,1.77477e-05,0.00340078,0.00694563,0.0102152,0.0117729,-3.3769e-05,0.00348181,0.00348197,-0.0191548,-0.0182103,-0.0118553,-0.00603901,0.000112401,0.00605245,0.0122149,0.0181797,0.021494,3.03911e-05,0.00606,0.00606008,-0.0202281,-0.0185005,-0.012374,-0.00616898,-5.26796e-05,0.00610801,0.0124591,0.0183286,0.0209783,6.68832e-06,0.0062089,0.0062089,1.05479,1.05455,1.64779,1.64832,1.66515,1.66563,3.60486,11
74772,2617,235,0.00302741,1.45594,-0.00237034,-0.00217812,-0.00146427,-0.000750269,-7.10466e-06,0.000710615,0.00138014,0.00210334,0.00260645,-1.37405e-05,0.000727069,0.000727199,-0.017317,-0.0160461,-0.0111634,-0.00514947,4.52022e-05,0.00515021,0.0101643,0.0162454,0.0176733,-5.56734e-05,0.00524004,0.00524034,-0.187953,-0.184673,-0.113249,-0.0567587,-0.00045352,0.0569538,0.123786,0.172702,0.197899,0.000397353,0.0576692,0.0576705,-0.188609,-0.184485,-0.113113,-0.0569486,-0.000616625,0.0572607,0.12478,0.173409,0.197323,0.000420367,0.0578259,0.0578274,-0.00234744,-0.00213606,-0.00142185,-0.000739403,-5.34301e-06,0.000700221,0.00136508,0.00209977,0.0024737,-1.2863e-05,0.000716939,0.000717055,-0.0122879,-0.00929585,-0.00657292,-0.00324756,1.73851e-05,0.00314293,0.00613345,0.00895377,0.0120184,-2.69576e-05,0.00318413,0.00318425,-0.129798,-0.0945292,-0.0678249,-0.0345452,-0.000719705,0.0348386,0.0706874,0.0999575,0.127816,0.00020268,0.0345451,0.0345457,-0.130357,-0.0946154,-0.0677151,-0.0344569,-0.000437197,0.0347236,0.0713247,0.100269,0.129284,0.000218965,0.0346437,0.0346444,1.01413,1.01415,1.64567,1.64571,1.66939,1.6694,4.48215,60
148568,12597,7147,0.0424628,1.07166,-0.00282453,-0.00228698,-0.00162131,-0.000779087,-8.28751e-06,0.000757128,0.001539,0.00240562,0.00278437,-1.07328e-05,0.000774139,0.000774214,-0.0120136,-0.0107954,-0.00717869,-0.00371594,3.3822e-05,0.00359726,0.00681824,0.00973832,0.0142416,-3.75169e-05,0.00354076,0.00354096,-0.0244772,-0.0172218,-0.0113236,-0.00597816,5.59414e-05,0.0062268,0.011958,0.0176909,0.0199686,7.91812e-05,0.00599516,0.00599569,-0.0248771,-0.0187814,-0.0118892,-0.0062841,5.05246e-05,0.0063994,0.0125214,0.0181582,0.0216545,8.99554e-05,0.00625931,0.00625996,-0.0026172,-0.00213377,-0.00146989,-0.000751787,3.16328e-06,0.000715565,0.00152079,0.00214426,0.00247274,-8.75356e-06,0.000733946,0.000733998,-0.00901767,-0.00757197,-0.00500805,-0.00246963,-8.00378e-06,0.00243102,0.0046172,0.00727822,0.00820533,-1.70953e-05,0.00245261,0.00245267,-0.0167208,-0.0117291,-0.00824139,-0.00401378,3.98292e-06,0.00418371,0.00841992,0.012417,0.015337,3.87234e-05,0.00410984,0.00411003,-0.0173724,-0.0127977,-0.00857061,-0.00414403,-2.64462e-05,0.00425963,0.00877089,0.0130598,0.0169323,4.6942e-05,0.00426398,0.00426424,1.05476,1.05479,1.44367,1.44372,1.45873,1.4588,3.21842,18
3837563445,277467992,104644949,0.0247993,1.14084,-0.00404031,-0.00321963,-0.00211868,-0.00109945,2.52459e-05,0.00111621,0.00223859,0.00326629,0.00431819,3.52861e-05,0.0011063,0.00110686,-0.0176048,-0.0165133,-0.0107808,-0.00542087,7.19712e-05,0.00565645,0.0108365,0.0166743,0.0210852,8.60254e-05,0.00548096,0.00548163,-0.051288,-0.0429677,-0.0277125,-0.0145652,-0.000287275,0.014166,0.0278174,0.0431747,0.0470253,-0.000199572,0.0142749,0.0142763,-0.0524392,-0.0437127,-0.0285833,-0.0150698,-0.000274127,0.014501,0.0285562,0.0437108,0.0480611,-0.000226282,0.0146591,0.0146608,-0.0034686,-0.00295425,-0.00198251,-0.00103341,3.37775e-05,0.00107629,0.0021556,0.00315771,0.00382626,3.12501e-05,0.0010429,0.00104337,-0.00992832,-0.00911684,-0.00613934,-0.00299277,-0.000105202,0.00327062,0.00637701,0.00926638,0.0101502,4.68227e-05,0.00313362,0.00313397,-0.0263968,-0.0238178,-0.0158833,-0.00801043,-4.7233e-05,0.00787212,0.0153606,0.0245049,0.0306651,-9.57906e-05,0.00787393,0.00787451,-0.0275351,-0.0249172,-0.0163912,-0.00823407,-0.000119146,0.00807405,0.0156781,0.0251771,0.030587,-0.000122896,0.00806926,0.0080702,1.06079,1.06085,1.74908,1.7491,1.81293,1.81298,3.75668,17
84256,1624,402,0.00465914,1.71501,-0.00272176,-0.00213128,-0.001453,-0.000719019,1.90291e-05,0.00074036,0.0014558,0.00203384,0.00238664,1.29682e-05,0.000721838,0.000721954,-0.0278321,-0.0212595,-0.0147074,-0.00703248,0.000272532,0.00741508,0.0138536,0.0193455,0.0230852,0.000134014,0.00714278,0.00714404,-0.0933222,-0.0791623,-0.0561871,-0.0298234,-0.00103321,0.0284979,0.0582206,0.0836604,0.117343,-0.000570604,0.0286857,0.0286914,-0.0935928,-0.0791056,-0.0563724,-0.0298679,-0.00112089,0.028806,0.0579454,0.0841712,0.118268,-0.000579405,0.0288057,0.0288115,-0.00245908,-0.00219487,-0.00149347,-0.000710693,1.73079e-05,0.000721255,0.00145187,0.00196059,0.00226949,1.09954e-05,0.000715278,0.000715363,-0.0191687,-0.0143087,-0.00884858,-0.00448114,0.000140661,0.00459099,0.00884339,0.0124925,0.0132085,3.96447e-05,0.004489,0.00448918,-0.0558419,-0.0478159,-0.0352003,-0.0179842,-0.00045975,0.0178862,0.0351677,0.0578921,0.072249,-0.000143193,0.0178822,0.0178828,-0.0561388,-0.0475939,-0.035353,-0.0180139,-0.000482104,0.0179048,0.0349656,0.0578623,0.0715518,-0.000152487,0.0179528,0.0179535,1.00917,1.00921,1.59117,1.59139,1.60415,1.60441,4.21242,17
22160727,6987227,586521,0.0197253,0.501279,-0.00451422,-0.00373825,-0.00259717,-0.00128493,-6.93467e-05,0.00124258,0.00251524,0.00378661,0.00425769,-5.03023e-05,0.00127201,0.00127301,-0.0116346,-0.00800063,-0.0054188,-0.00271505,-0.000113501,0.00266412,0.00572872,0.00747587,0.0112835,-5.58506e-05,0.00273388,0.00273445,-0.109552,-0.0890012,-0.0620059,-0.0299277,0.000719722,0.0305081,0.0618297,0.0911687,0.12099,0.000370015,0.0306998,0.030702,-0.111997,-0.0900478,-0.0632591,-0.0305043,0.000806969,0.0310749,0.0628302,0.0933619,0.124141,0.000432262,0.0312954,0.0312984,-0.00319539,-0.00283578,-0.0021242,-0.00105005,-5.26443e-05,0.000966682,0.00207177,0.00313286,0.00412269,-4.35766e-05,0.00103324,0.00103416,-0.00473375,-0.00410597,-0.00293399,-0.00148194,-6.52997e-05,0.00145289,0.00289434,0.00453651,0.00588934,-3.71523e-05,0.00145312,0.0014536,-0.0451053,-0.0387599,-0.027419,-0.0132697,0.000258948,0.0136813,0.0271065,0.0390496,0.0528306,0.00015061,0.0135724,0.0135732,-0.0438937,-0.0390047,-0.0278103,-0.0133976,0.000276915,0.0138306,0.0275957,0.039123,0.0529628,0.000192217,0.0137949,0.0137962,1.23109,1.23095,1.88139,1.88116,2.26193,2.26196,4.25263,6
